,"Unnamed: 0, nan","№ п/п, nan","Дата составления, nan","Организация, nan","Месторождение, nan","ЛУ, nan","Цех, nan","ТЛ/ДНС, nan","АГЗУ, nan","№ Скв, nan","Номер куста, nan","Дата ввода в эксплуатацию, nan","Тип ствола скв., nan","Пласт,  ","Состояние по фонду, nan","текущее состояние, nan","Скин фактор, nan","Дата ГРП, nan","Исполнитель ГРП, nan","Примечание ГРП, nan","P нас, ат","ГС, м3/м3","Вязкость нефти (пл.усл), сПз","Вязкость воды (пл.усл.), сПз","Вязкость жидкости (станд.усл), сПз","Объемный коэф-т нефти, nan","Плот-ть нефти (станд.усл), г/см3","Плот-ть нефти  (пл.усл.), г/см3","Т пласта, ͦС","Плот-ть воды (станд.усл), г/см3","Dэк 
внешн., мм","Толщ. стенки, мм","Интервал спуска ЭК, м","Исскуств. забой, м","Текущий забой, м","Дата отбивки текущего забоя, nan","Способ отбивки текущего забоя, nan","Примечание, nan","Тип конструкции  забоя, nan","Интервалы перфорации, м","Нперф_Эфф, м","Нвд_замер, м","Удлинение на Нвд, м","Интервал спуска хвостовика, м","Диаметр хвостовика, мм","Толщ.стенки хвостовика, мм","Способ эксплуатации, nan","Глубина 1 и.о., м","Давление запуска
1 и.о., ат","Глубина 2 и.о., м","Давление запуска
2 и.о., ат","Глубина 3 и.о., м","Давление запуска
3 и.о., ат","Глубина 4 и.о., м","Давление запуска
4 и.о., ат","Глубина 5 и.о., м","Давление запуска
5 и.о., ат","Глубина 6 и.о., м","Давление запуска
6 и.о., ат","Глубина НПЦК, м","Состояние НПЦК, nan","Примечание.1, nan","Тип насоса, nan","Число ступеней, шт","Напор, м","Частота, Гц","ПЭД, кВт","Qтеор, м3/сут","Глубина спуска ПО, м","Глубина спуска ПО (по верт.), м","Удлинение на гл спуска ПО, м","Dнкт, мм","Толщина стенки НКТ, мм","Dшт, мм","Вид штуцера, nan","Режим работы, nan","Время работы, час","Время
накопления, 0+","Рбуф, ат","Рзатр, ат","Рлин, ат","Дата замера Рпл, nan","Рпл, ат","Рг/г, ат","Состояние АСУРГГ, nan","Модификация АСУРГГ, nan","Dшт линии подачи г/г, мм","Ндин (расчетный от Рпр), м","Р пр (расчетный от Нд), ат","Ндин, м","Р пр, ат","Рзаб, ат","Дебит нефти, т/сут","Дебит жидкости, м3/сут","Обводненность, %","Дебит газа, тыс.м3/сут","Расход г/г, тыс.м3/сут","Расход г/г.1, м3/ч","Дебит ПНГ, тыс.м3/сут","ГФ, м3/сут","УРГГ, м3/т","Кпрод, м3/(сут*ат)"
494,3223,332.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-2,ЗУ-1,3223,К-1610,2018-09-20 00:00:00,Гор.,Р4+5_Block3,Действующий,В работе,,,,,203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2041.5,2770,2770,,,,открытый,"2041,5-2770",,,,,,,Газлифт,465.000007617,ГК 79 1/8,890.999977148,ГК 81 1/8,1261.000016016,ГК 82 1/8,1503.000053906,ГК 82 1/8,1830.000001172,ЦКсОК 5/16,  ,-,-,-,-,-,-,-,-,-,-,2100,,,,,18,Угловик,Постоянный,24,0,26,38,24,2023-04-01 00:00:00,113,66,,,5,,,,,46,5.2668,6.3,0,16.9,7.2,,9.7,1841.7255259360522,1367.0539986329459,0.09402985074626866
495,3224,332.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-2,ЗУ-1,3224,Без куста,2019-07-04 00:00:00,Гор.,Р4+5_Block3,Действующий,В работе,,,,,203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2105.7,2108,2108,,,,открытый,2108-2714,38.97,2108,256.06,,,,Газлифт,510.000014355,ГП,909.999970898,ГП,1230.000010547,ГК 90 1/8,1530.000005859,ГК 90 5/32,1819.999941797,ЦКсОК 5/16,-,-,-,-,-,-,-,-,-,-,-,1832,1660.59,171.41000000000008,73,5.5,18,Угловик,Периодический,24,24,26,38,25,2023-04-01 00:00:00,86,67,В работе,Инком-систем,6,,,,,47,3.762,4.5,0,14,2.5,,11.5,3056.8846358320043,664.5401382243488,0.11538461538461539
496,3226,332.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-3,К-11,3226,К-11-1,2020-03-11 00:00:00,Гор.,Р4+5_Block3,Действующий,Остановлена,,,,,203,218.2,0.98,1.66,1.3208834037025008,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2379.5,3092,3092,,,,открытый,2378-3092,46,2378,530.3,,,,ЭЦН,279,ГП,-,-,-,-,-,-,-,-,-,-,1943,закрыт,-,D1050N,-,1338,39,72,-,1960,1642.1,317.9000000000001,73,5.5,65,Угловик,Периодический,11,13,21,20,20,2023-04-01 00:00:00,149,,,,,,,,87.06327856000001,107.30323132000002,9.43426,30.5,63,6.9,,,6.9,731.376917744476,,0.7314715496078584
497,3228,333.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-3,ЗУ-10,3228,К-54,2015-05-14 00:00:00,Гор.,"Р4+5_Block3, P5i",Действующий,В работе (постоянный режим),,,,,203,218.2,0.98,1.66,1.1310417709550031,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2379.5,3092,3092,,,,открытый,"2181-2798,85",68,2181,323.9,,,,Газлифт,621.000011133,ГК 94 1/8,1198.000028906,ГК 93 1/8,1735.000032422,ЦКсОК 5/16,-,-,-,-,-,-,1750,закрыт,-,-,-,-,-,-,-,2230,1925.63,304.3699999999999,73,5.5,12,ШДР,Постоянный,24,0,25,46,24,2023-04-01 00:00:00,142,88,,,5,,,,,70,5.465600799999999,9.7,32.6,13.3,12,,1.3000000000000007,237.85125324191276,1314.7186123092458,0.13472222222222222
498,3230,334.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,ЗУ-5,3230,К-17,2015-04-28 00:00:00,Гор.,P4+5+6_Block1_yug,Действующий,В работе,,,,,203,218.2,0.98,1.66,1.2242256404081755,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2069,"1 ств 2558
2 ств 2699","1 ств 2558
2 ств 2699",,,,открытый, 2069-2558; 2098-2699,33.86999999999989,2069;2098,"683,7/706,5",,,,Газлифт,349.999994531,ГП,670.00003418,ГП,980.000014453,ГП,1239.999995508,ГК 78 1/8,1449.999977344,ГК 79 5/32,-,-,1720,открыт,-,-,-,-,-,-,-,2080,1843,237,73,5.5,18,Угловик,Постоянный,24,0,22,36,21,2023-04-01 00:00:00,99,76,В работе,Сиант ,6,,43,,,65,6.347246399999999,14.8,48.7,12.8,10,,2.8000000000000007,441.1361752081976,680.5662245654026,0.43529411764705883
499,3232,335.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-2,К-1,3232,К-55,2019-09-30 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе,,,,,203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2602,3356,3356,,,,открытый,2602-3356,76.4,2602,704.7,,,,Газлифт,289.999991748,ГП,560.000013574,ГП,880.000016016,ГП,1209.999966211,ГК 80 1/8,1510.000035938,ГК 79 1/8,-,-,1790,открыт,-,-,-,-,-,-,-,2620,1897.56,722.44,73,5.5,65,Угловик,Постоянный,24,0,24,36,23,2023-04-01 00:00:00,92,63,В работе,Инком-систем,6,,,,,45,11.286,13.5,0,44,8,,36,3189.792663476874,708.842814105972,0.2872340425531915
500,3234,336.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,ГЗУ-7,3234,К-1368,1996-08-16 00:00:00,Гор.,Р4+5_Block3,Действующий,В работе (постоянный режим),,,,,203,218.2,0.98,1.66,0.9800401462228572,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2390.7,2959,2959,,,,открытый,2391-2959,33.3,2390.7,455.9,,,,Газлифт,300,ГП,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,-,1975,1752,223,73,5.5,10,ШДР,Постоянный,24,0,27,52,21,2023-04-01 00:00:00,182,76,,,,,,,,49,20.647135079999998,24.7,0.01,25.9,14.5,,11.399999999999999,552.1347129192123,702.1793352133514,0.18571428571428572
501,3235,337.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-22,3235,К-22,2019-04-06 00:00:00,Гор.,P4+5+6_Block1_yug,Действующий,В работе,,,,,203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2795,3670,3670,,,,закрытый,"2884-2885,4, 2979,3-2980,7, 3087,3-3088,8, 3207-3208,4, 3348-3349,3, 3468,3-3469,8, 3563,9-3585,1 ",12.3,2884,147,"2680,8-3638",144,7.37,Газлифт,549.999991406,ГП,970.000029492,ГП,1360.000038281,ГК 77 1/8,1685.000033203,ГК 76 1/8,1919.999940234,ЦКсОК 5/16,-,-,-,-,-,-,-,-,-,-,-,2680,1821,859,73,5.5,65,Угловик,Постоянный,24,0,24,39,23,2023-04-01 00:00:00,118,73,В работе,Инком-систем,,,23,,,47,6.688,8,0,18,7.2,,10.8,1614.8325358851675,1076.555023923445,0.11267605633802817
502,3239,338.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-30,3239,К-30,2015-04-30 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе,,,,,203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,"177,8;
114,3",9.19,2077.6,2800,2800,,,,открытый,2104-2800,46.8,2104,173.4,1926-2200,114,7.37,Газлифт,324.999994922,ГП,630.000019922,ГП,899.999985938,ГК 80 1/8,1149.999982031,ГК 79 1/8,1360.000038281,ГК 79 1/8,-,-,1550,закрыт,-,-,-,-,-,-,-,1935,1759.2,175.79999999999995,73,5.5,18,Угловик,Постоянный,24,0,27,36,26,2023-04-01 00:00:00,99,76,В работе,Сиант ,5,,18,,,45,11.286,13.5,0,18,7.2,,10.8,956.9377990430622,637.9585326953749,0.25
503,3240,339.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-32,3240,К-32-1,2015-09-11 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе,,,,,203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2164,2775,2775,,,,открытый,2164-2775,12.05,2164,267.6,,,,Газлифт,529.999984277,ГП,998.000032031,ГП,1384.000061719,ГК 77 1/8,1685.000033203,ГК 77 1/8,1931.999951953,ЦКсОК 5/16,-,-,-,-,-,-,-,-,-,-,-,2175,1897.9,277.0999999999999,73,5.5,18,Угловик,Постоянный,24,0,24,45,23,2023-04-01 00:00:00,82,71,В работе,Сиант ,5,,21,,,45,8.36,10,0,30,12,,18,2153.11004784689,1435.4066985645934,0.2702702702702703
504,3241,340.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-33,3241,К-33,2014-10-28 00:00:00,Гор.,P4+5+6_Block1_yug,Действующий,Остановлена,,,,,203,218.2,0.98,1.66,0.9813265643436065,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2342,2961,2961,,,,открытый,2342-2961,56.31000000000017,2382.7,400.04,,,,Газлифт,550,ГК 86 1/8,1010,ГК 87 1/8,1460,ГК 87 5/32,1820,ГК 88 5/32,2020,ЦКсОК 5/16,-,-,2030,закрыт,-,-,-,-,-,-,-,2282,1924.52,357.48,73,5.5,18,Угловик,Постоянный,24,0,19,47,18,2023-04-01 00:00:00,71,77,В работе,Сиант ,5,,34,,,53,7.33252256,8.8,0.33,26.5,13.5,,13,1772.9232871258973,1832.7075048997638,0.48888888888888893
505,3242,341.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-29,3242,К-130,2019-02-24 00:00:00,Гор.,P4+5+6_Block1_yug,Действующий,В работе,,,,,203,218.2,0.98,1.66,1.0147079003505446,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2295,3185,3185,,,,открытый,2295-3080,46.1,2475,528.1,,,,Газлифт,615.000005273,ГК 84 1/8,1180.000011328,ГК 85 5/32,1630.000004297,ГК 85 3/16,2060.000027344,ЦКсОК 5/16,-,-,-,-,2070,закрыт,-,-,-,-,-,-,-,2295,1897.11,397.8900000000001,73,5.5,65,Угловик,Постоянный,24,0,20,46,19,2023-04-01 00:00:00,115,80,,,5,,22,,,42,13.025298,17,8.35,33,21.6,,11.399999999999999,875.2198989996235,1472.4850823967888,0.2328767123287671
506,3243,341.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-2,ЗУ-4,3243,К-62,1996-08-22 00:00:00,Гор.,Р4+5_Block3,Действующий,В работе,,,,,203,218.2,0.98,1.66,1.0085054678007288,1.454,0.836,0.72,34.3,1.17,"177,8;
114,3",9.19,2017.1,1 ствол-2380;2 ствол-2550;3 ствол-2480,1 ствол-2380;2 ствол-2550;3 ствол-2480,,,,Закрытый," 1945,8-1946;  2070-2070,2; 2194,5-2194,7; ",76.4,2079.1,198.1,1865-2547,114,7.37,Фон.,415,ГП,810,ГК 78 1/8,1175,ГК 78 1/8,1510,ГК 78 1/8,-,-,-,-,1750,закрыт,-,-,-,-,-,-,-,1870,1815.94,54.059999999999945,73,5.5,65,Угловик,Постоянный,24,0,23,35,21,2023-04-01 00:00:00,98.6,,,,,,,,,43,29.576007999999998,38,6.9,64,,,64,2163.916103890694,,0.683453237410072
507,3244,341.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-2,К-40,3244,К-40,1996-08-23 00:00:00,Гор.,Р4+5_Block3,Действующий,В работе,,,,,203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2584,3259,3174,,,,открытый,2584-3174,14,2584,798.3,,,,Фон.,440,ГП,800,ГП,1080,ГП,1320,ГП,1520,"ГК89/1,5",-,-,1720,закрыт,-,-,-,-,-,-,-,2600,1873.42,726.5799999999999,73,5.5,18,Угловик,Постоянный,24,0,24,33,23,2023-04-01 00:00:00,108,,,,,,,,,42,21.317999999999998,25.5,0,37,,,37,1735.6224786565347,,0.38636363636363635
508,3245,342.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-29,3245,К-130,2019-04-23 00:00:00,Гор.,P4+5+6_Block1_yug,Действующий,В работе,,,,,203,218.2,0.98,1.66,1.0051157847910435,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2175,3080,3080,,,,открытый,2175-3080,25.4,2175,94.35,,,,Газлифт,540.000006445,ГК 83 1/8,959.999970117,ГК 83 1/8,1310.000039063,ГК 83 1/8,1624.999974609,ГК 82 5/32,1910.000029688,ЦКсОК 5/16,-,-,1929,закрыт,-,-,-,-,-,-,-,2189,1940.09,248.91000000000008,73,5.5,65,Угловик,Постоянный,24,0,20,44,19,2023-04-01 00:00:00,142,80,,,5,,23,,,43,8.399542799999999,10.7,6.1,19,9.4,,9.6,1142.9193503246393,1026.7199049336014,0.10808080808080807
509,3246,343.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-29,3246,К-31/1,2015-11-23 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе,-4.0,2016-05-09 00:00:00,МеКаМиНефть,"Всего кислоты 180м3, жидкость 342.9м3",203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2685,3380,3380,,,,открытый,2677-3100,63.3,2677,519,2677-3100,114,7.37,Газлифт,579.999983496,ГП,1030.000013672,ГП,1390.000067578,ГП,1699.999973438,ЦКсОК 5/16,-,-,-,-,1730,закрыт,-,-,-,-,-,-,-,2677,1925,752,73,5.5,18,Угловик,Постоянный,24,0,18,33,17,2023-04-01 00:00:00,95,83,В работе,Сиант ,5,,30,,,48,10.032,12,0,26,12,,14,1395.5342902711325,1196.1722488038279,0.2553191489361702
510,3248,344.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-2,К-61,3248,К-61,1996-08-26 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе,,,,,203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2626,3173,3173,,,,открытый,2626-3173,87.1,2626,736.4,,,,Газлифт,445.000000488,ГП,920.000030273,ГП,1394.999948438,ГК 84 5/32,1710.000032813,ЦКсОК 5/16,-,-,-,-,-,-,-,-,-,-,-,-,-,2630,1889.14,740.8599999999999,73,5.5,65,Угловик,Постоянный,24,0,21,34,20,2023-04-01 00:00:00,111,66,В работе,Сиант ,6,,,,,70,12.122,14.5,0,22,12,,10,824.9463784853984,989.9356541824782,0.35365853658536583
511,3249,345.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-2,К-61,3249,К-61,1996-08-27 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе,,,,,203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2062,2651,2651,,,,открытый,2062-2651,25.4,2062,148,,,,Газлифт,565.000006055,ГК 79 1/8,930.000015234,ГК 80 1/8,1274.999980078,ГК 81 1/8,1574.999975391,ЦКсОК 5/16,-,-,-,-,1740,закрыт,-,-,-,-,-,-,-,2075,1883.3,191.70000000000005,73,5.5,18,Угловик,Постоянный,24,0,21,41,20,2023-04-01 00:00:00,113,69,В работе,ГКС,,,,,,50,12.4564,14.9,0,12.4,9.6,,2.8000000000000007,224.7840467550818,770.6881603031372,0.2365079365079365
512,3250,346.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-3,К-28,3250,К-28,1996-08-28 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе (постоянный режим),,,,,203,218.2,0.98,1.66,1.31075157921877,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2163,2875,2875,,,,открытый,2163-2875,44.37,2163,227,,,,Газлифт,599.999990625,ГП,1109.999967773,ГП,1540.000065234,ГК 85 1/8,1928.000047266,ЦКсОК 5/16,-,-,-,-,1938,закрыт,-,-,-,-,-,-,-,1936,1801,135,73,5.5,65,Угловик,Постоянный,24,0,21,48,20,2023-04-01 00:00:00,96,83,В работе,ГКС,6,,,,,59,2.3434752,7.3,61.6,22.8,17.6,,5.199999999999999,2218.9268313997945,2330.8882315784076,0.19729729729729728
